,number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_grow_policy,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,state
40,40,0.9715129102172376,2022-03-30 05:31:50.773551,2022-03-30 05:35:11.049284,0 days 00:03:20.275733,0.8018426053780919,0.8438532337351449,depthwise,0.16213208004479207,5.847985947118822,8,3,0.8148501260063448,2.3924114650601047,3.442900100797708,0.5909320108914692,COMPLETE
41,41,0.9002981703122424,2022-03-30 05:35:11.051341,2022-03-30 05:37:27.053792,0 days 00:02:16.002451,0.7348475408441613,4.090875628696463,depthwise,0.09428171910140275,4.894389720373953,6,2,2.18173737412349,3.686398890458074,0.028394109049570293,0.6052694337008393,COMPLETE
42,42,0.969710000713377,2022-03-30 05:37:27.055850,2022-03-30 05:39:43.051106,0 days 00:02:15.995256,0.36184435311974456,3.3641772671494885,depthwise,0.017508681981673754,3.374207870848589,9,9,0.07491706654934621,2.865348875430832,5.2970991907144835,0.6030718255033319,COMPLETE
43,43,0.9680723386676897,2022-03-30 05:39:43.053072,2022-03-30 05:42:40.606479,0 days 00:02:57.553407,0.7159891027372546,1.776480123471611,depthwise,0.14632459717050753,6.68529736976101,9,13,0.9327398674261089,0.8237503411089659,0.5357304000686653,0.6776637188829949,COMPLETE
44,44,0.9595191565436522,2022-03-30 05:42:40.608287,2022-03-30 05:44:38.800093,0 days 00:01:58.191806,0.8915591721406868,0.44367600786388406,lossguide,0.061550028596277284,4.531426956877217,3,18,5.042776581912018,1.7960938376551177,2.3440065116494306,0.8295298604961567,COMPLETE
45,45,0.9652691212572545,2022-03-30 05:44:38.802152,2022-03-30 05:47:56.083072,0 days 00:03:17.280920,0.99128549724845,2.1041286935796815,lossguide,0.09317263139744122,6.683540047183819,7,32,5.280061393417127,7.05135328257496,0.6520782904721463,0.7025182161577295,COMPLETE
46,46,0.9547929477587896,2022-03-30 05:47:56.089423,2022-03-30 05:48:45.445770,0 days 00:00:49.356347,0.2848672014832145,0.5290588630299081,lossguide,0.18212215494459424,5.002657238280852,2,18,7.303144578407536,7.553847624355503,6.808878318583863,0.5526381897075776,COMPLETE
47,47,0.9696105219539112,2022-03-30 05:48:45.448172,2022-03-30 05:51:00.060843,0 days 00:02:14.612671,0.7585899425690179,0.04714367847370671,depthwise,0.09952533557489397,5.90602075003026,6,19,0.6959758045722089,1.9794772110819712,5.379854923071979,0.443779658877244,COMPLETE
48,48,0.9685202721795715,2022-03-30 05:51:00.079239,2022-03-30 05:52:35.041178,0 days 00:01:34.961939,0.2745252181174349,2.337607013682678,lossguide,0.14594907968754264,3.330692906703886,6,40,5.378177161217558,4.903059701422048,7.981044313169184,0.7529711327652789,COMPLETE
49,49,0.9703543673972602,2022-03-30 05:52:35.043021,2022-03-30 05:55:20.279476,0 days 00:02:45.236455,0.6239713801731119,0.5026250938800323,lossguide,0.13890502274429473,7.4857255833173655,9,11,1.4396469914072125,0.9481008849772623,2.2707775314036023,0.5579950620661552,COMPLETE
50,50,0.9635203038092303,2022-03-30 05:55:20.281294,2022-03-30 05:57:09.444105,0 days 00:01:49.162811,0.5596878417529999,2.4481274886963265,lossguide,0.1456124889158606,4.025008602897051,9,55,0.7746381580956434,2.843239876796827,1.1086807758540949,0.5297082632471912,COMPLETE
