[32m[I 2022-03-30 03:46:11,801][0m A new study created in memory with name: no-name-2e0162db-ca8b-4411-9a88-0839e4128bad[0m
[32m[I 2022-03-30 05:42:40,607][0m Trial 43 finished with value: 0.9680723386676897 and parameters: {'reg_alpha': 0.9327398674261089, 'reg_lambda': 0.8237503411089659, 'subsample': 0.6776637188829949, 'colsample_bytree': 0.7159891027372546, 'max_depth': 9, 'min_child_weight': 13, 'learning_rate': 0.14632459717050753, 'gamma': 1.776480123471611, 'grow_policy': 'depthwise', 'max_delta_step': 6.68529736976101, 'scale_pos_weight': 0.5357304000686653}. Best is trial 12 with value: 0.9721097038757875.[0m
[32m[I 2022-03-30 05:44:38,800][0m Trial 44 finished with value: 0.9595191565436522 and parameters: {'reg_alpha': 5.042776581912018, 'reg_lambda': 1.7960938376551177, 'subsample': 0.8295298604961567, 'colsample_bytree': 0.8915591721406868, 'max_depth': 3, 'min_child_weight': 18, 'learning_rate': 0.061550028596277284, 'gamma': 0.44367600786388406, 'grow_policy': 'lossguide', 'max_delta_step': 4.531426956877217, 'scale_pos_weight': 2.3440065116494306}. Best is trial 12 with value: 0.9721097038757875.[0m
[32m[I 2022-03-30 05:47:56,085][0m Trial 45 finished with value: 0.9652691212572545 and parameters: {'reg_alpha': 5.280061393417127, 'reg_lambda': 7.05135328257496, 'subsample': 0.7025182161577295, 'colsample_bytree': 0.99128549724845, 'max_depth': 7, 'min_child_weight': 32, 'learning_rate': 0.09317263139744122, 'gamma': 2.1041286935796815, 'grow_policy': 'lossguide', 'max_delta_step': 6.683540047183819, 'scale_pos_weight': 0.6520782904721463}. Best is trial 12 with value: 0.9721097038757875.[0m
[32m[I 2022-03-30 05:48:45,446][0m Trial 46 finished with value: 0.9547929477587896 and parameters: {'reg_alpha': 7.303144578407536, 'reg_lambda': 7.553847624355503, 'subsample': 0.5526381897075776, 'colsample_bytree': 0.2848672014832145, 'max_depth': 2, 'min_child_weight': 18, 'learning_rate': 0.18212215494459424, 'gamma': 0.5290588630299081, 'grow_policy': 'lossguide', 'max_delta_step': 5.002657238280852, 'scale_pos_weight': 6.808878318583863}. Best is trial 12 with value: 0.9721097038757875.[0m
[32m[I 2022-03-30 05:51:00,061][0m Trial 47 finished with value: 0.9696105219539112 and parameters: {'reg_alpha': 0.6959758045722089, 'reg_lambda': 1.9794772110819712, 'subsample': 0.443779658877244, 'colsample_bytree': 0.7585899425690179, 'max_depth': 6, 'min_child_weight': 19, 'learning_rate': 0.09952533557489397, 'gamma': 0.04714367847370671, 'grow_policy': 'depthwise', 'max_delta_step': 5.90602075003026, 'scale_pos_weight': 5.379854923071979}. Best is trial 12 with value: 0.9721097038757875.[0m
[32m[I 2022-03-30 05:52:35,041][0m Trial 48 finished with value: 0.9685202721795715 and parameters: {'reg_alpha': 5.378177161217558, 'reg_lambda': 4.903059701422048, 'subsample': 0.7529711327652789, 'colsample_bytree': 0.2745252181174349, 'max_depth': 6, 'min_child_weight': 40, 'learning_rate': 0.14594907968754264, 'gamma': 2.337607013682678, 'grow_policy': 'lossguide', 'max_delta_step': 3.330692906703886, 'scale_pos_weight': 7.981044313169184}. Best is trial 12 with value: 0.9721097038757875.[0m
[32m[I 2022-03-30 05:55:20,280][0m Trial 49 finished with value: 0.9703543673972602 and parameters: {'reg_alpha': 1.4396469914072125, 'reg_lambda': 0.9481008849772623, 'subsample': 0.5579950620661552, 'colsample_bytree': 0.6239713801731119, 'max_depth': 9, 'min_child_weight': 11, 'learning_rate': 0.13890502274429473, 'gamma': 0.5026250938800323, 'grow_policy': 'lossguide', 'max_delta_step': 7.4857255833173655, 'scale_pos_weight': 2.2707775314036023}. Best is trial 12 with value: 0.9721097038757875.[0m
[32m[I 2022-03-30 05:57:09,444][0m Trial 50 finished with value: 0.9635203038092303 and parameters: {'reg_alpha': 0.7746381580956434, 'reg_lambda': 2.843239876796827, 'subsample': 0.5297082632471912, 'colsample_bytree': 0.5596878417529999, 'max_depth': 9, 'min_child_weight': 55, 'learning_rate': 0.1456124889158606, 'gamma': 2.4481274886963265, 'grow_policy': 'lossguide', 'max_delta_step': 4.025008602897051, 'scale_pos_weight': 1.1086807758540949}. Best is trial 12 with value: 0.9721097038757875.[0m
[32m[I 2022-03-30 06:00:36,872][0m Trial 51 finished with value: 0.9697159811422558 and parameters: {'reg_alpha': 2.2513877037843235, 'reg_lambda': 2.6872868686931572, 'subsample': 0.5379563817842403, 'colsample_bytree': 0.8055054386749946, 'max_depth': 12, 'min_child_weight': 9, 'learning_rate': 0.19915331520140292, 'gamma': 2.1389612156841076, 'grow_policy': 'depthwise', 'max_delta_step': 4.957779608479631, 'scale_pos_weight': 8.141638071697681}. Best is trial 12 with value: 0.9721097038757875.[0m
[32m[I 2022-03-30 06:04:05,226][0m Trial 52 finished with value: 0.9656943116675957 and parameters: {'reg_alpha': 0.23959111241666742, 'reg_lambda': 3.861417486304085, 'subsample': 0.7324979393543796, 'colsample_bytree': 0.97584975465477, 'max_depth': 6, 'min_child_weight': 13, 'learning_rate': 0.3664648897128273, 'gamma': 1.9541079590425405, 'grow_policy': 'depthwise', 'max_delta_step': 4.923720850014116, 'scale_pos_weight': 2.765006626598042}. Best is trial 12 with value: 0.9721097038757875.[0m
